origen,destino,peso
Nodo_Centro_Industrial_2,Nodo_Noreste_Rural,10.7
Nodo_Noreste_Rural,Nodo_Periferia_Hospitalaria,26.6
Nodo_Periferia_Hospitalaria,Nodo_Noreste_Residencial,28.7
Nodo_Noreste_Residencial,Nodo_Oeste_Comercial,6.6
Nodo_Oeste_Comercial,Nodo_Sur_Comercial_2,26.3
Nodo_Sur_Comercial_2,Nodo_Oeste_Industrial_2,17.9
Nodo_Oeste_Industrial_2,Nodo_Noreste_Hospitalaria,10.8
Nodo_Noreste_Hospitalaria,Nodo_Noroeste_Comercial_2,10.1
Nodo_Noroeste_Comercial_2,Nodo_Periferia_Residencial,4.8
Nodo_Periferia_Residencial,Nodo_Noroeste_Universitaria,29.4
Nodo_Noroeste_Universitaria,Nodo_Noroeste_Comercial,4.0
Nodo_Noroeste_Comercial,Nodo_Suroeste_Universitaria,27.7
Nodo_Suroeste_Universitaria,Nodo_Suroeste_Industrial,24.4
Nodo_Suroeste_Industrial,Nodo_Suroeste_Comercial_2,13.6
Nodo_Suroeste_Comercial_2,Nodo_Suroeste_Industrial_2,21.6
Nodo_Suroeste_Industrial_2,Nodo_Norte_Residencial,9.9
Nodo_Norte_Residencial,Nodo_Periferia_Rural,4.4
Nodo_Periferia_Rural,Nodo_Noreste_Rural_2,15.8
Nodo_Noreste_Rural_2,Nodo_Sureste_Hospitalaria,4.4
Nodo_Sureste_Hospitalaria,Nodo_Norte_Rural,8.1
Nodo_Norte_Rural,Nodo_Noroeste_Industrial,18.5
Nodo_Noroeste_Industrial,Nodo_Norte_Hospitalaria_2,21.2
Nodo_Norte_Hospitalaria_2,Nodo_Norte_Residencial_2,15.2
Nodo_Norte_Residencial_2,Nodo_Oeste_Comercial_2,7.1
Nodo_Oeste_Comercial_2,Nodo_Este_Hospitalaria_2,7.6
Nodo_Este_Hospitalaria_2,Nodo_Centro_Universitaria,21.1
Nodo_Centro_Universitaria,Nodo_Suroeste_Comercial,26.6
Nodo_Suroeste_Comercial,Nodo_Centro_Comercial_2,24.7
Nodo_Centro_Comercial_2,Nodo_Oeste_Industrial,21.2
Nodo_Oeste_Industrial,Nodo_Sureste_Residencial,25.3
Nodo_Sureste_Residencial,Nodo_Este_Residencial_2,12.6
Nodo_Este_Residencial_2,Nodo_Este_Rural,5.4
Nodo_Este_Rural,Nodo_Noroeste_Universitaria_2,4.7
Nodo_Noroeste_Universitaria_2,Nodo_Centro_Comercial,16.7
Nodo_Centro_Comercial,Nodo_Sureste_Residencial_2,19.9
Nodo_Sureste_Residencial_2,Nodo_Sureste_Rural,29.6
Nodo_Sureste_Rural,Nodo_Periferia_Hospitalaria_2,13.4
Nodo_Periferia_Hospitalaria_2,Nodo_Noreste_Hospitalaria_2,22.7
Nodo_Noreste_Hospitalaria_2,Nodo_Norte_Rural_2,13.5
Nodo_Norte_Rural_2,Nodo_Este_Residencial,2.3
Nodo_Este_Residencial,Nodo_Sureste_Rural_2,3.2
Nodo_Sureste_Rural_2,Nodo_Oeste_Universitaria,24.9
Nodo_Oeste_Universitaria,Nodo_Sur_Universitaria_2,29.4
Nodo_Sur_Universitaria_2,Nodo_Centro_Universitaria_2,24.2
Nodo_Centro_Universitaria_2,Nodo_Periferia_Residencial_2,5.9
Nodo_Periferia_Residencial_2,Nodo_Sur_Comercial,12.2
Nodo_Sur_Comercial,Nodo_Este_Rural_2,9.2
Nodo_Este_Rural_2,Nodo_Centro_Industrial,15.2
Nodo_Centro_Industrial,Nodo_Sur_Industrial_2,25.4
Nodo_Sur_Industrial_2,Nodo_Norte_Hospitalaria,27.5
Nodo_Norte_Hospitalaria,Nodo_Sur_Universitaria,6.7
Nodo_Sur_Universitaria,Nodo_Sur_Industrial,10.2
Nodo_Sur_Industrial,Nodo_Oeste_Universitaria_2,16.4
Nodo_Oeste_Universitaria_2,Nodo_Este_Hospitalaria,8.7
Nodo_Centro_Industrial,Nodo_Suroeste_Comercial_2,19.8
Nodo_Oeste_Industrial,Nodo_Este_Rural,8.4
Nodo_Sureste_Residencial_2,Nodo_Oeste_Universitaria_2,17.0
Nodo_Centro_Comercial,Nodo_Norte_Hospitalaria_2,12.0
Nodo_Este_Rural,Nodo_Sureste_Hospitalaria,7.8
Nodo_Sur_Industrial,Nodo_Este_Rural,17.6
Nodo_Periferia_Residencial_2,Nodo_Noroeste_Universitaria_2,8.4
Nodo_Norte_Rural_2,Nodo_Centro_Universitaria_2,28.6
Nodo_Sureste_Rural,Nodo_Suroeste_Comercial,24.7
Nodo_Norte_Rural,Nodo_Este_Rural_2,20.9
Nodo_Noreste_Residencial,Nodo_Sur_Universitaria,14.3
