incident_id,tipo,ubicacion,severidad,timestamp,estado
INC-0001,Inundacion,Nodo_Norte_Hospitalaria_2,6,1783437671.27,reportado
INC-0002,Derrumbe,Nodo_Sur_Industrial,1,1783398297.78,reportado
INC-0003,Rescate,Nodo_Oeste_Industrial,4,1783458163.32,en_atencion
INC-0004,Explosion,Nodo_Norte_Residencial,9,1783405897.2,reportado
INC-0005,Accidente_Vial,Nodo_Sureste_Rural,8,1783402387.37,reportado
INC-0006,Incendio,Nodo_Centro_Universitaria_2,1,1783427818.31,reportado
INC-0007,Robo,Nodo_Este_Residencial,4,1783422031.28,en_atencion
INC-0008,Emergencia_Medica,Nodo_Centro_Comercial_2,3,1783390184.08,reportado
INC-0009,Inundacion,Nodo_Oeste_Industrial_2,6,1783408844.69,reportado
INC-0010,Derrumbe,Nodo_Suroeste_Comercial_2,1,1783399664.63,reportado
INC-0011,Rescate,Nodo_Centro_Universitaria_2,4,1783390807.84,en_atencion
INC-0012,Explosion,Nodo_Sureste_Rural_2,9,1783455088.6,reportado
INC-0013,Accidente_Vial,Nodo_Sur_Comercial,2,1783447050.39,reportado
INC-0014,Incendio,Nodo_Sur_Industrial_2,5,1783425309.04,reportado
INC-0015,Robo,Nodo_Periferia_Hospitalaria,6,1783390542.62,en_atencion
INC-0016,Emergencia_Medica,Nodo_Oeste_Industrial_2,7,1783448394.54,reportado
INC-0017,Inundacion,Nodo_Norte_Rural,6,1783399334.28,reportado
INC-0018,Derrumbe,Nodo_Este_Residencial,7,1783432256.99,reportado
INC-0019,Rescate,Nodo_Sureste_Residencial_2,6,1783439494.7,en_atencion
INC-0020,Explosion,Nodo_Noroeste_Universitaria_2,1,1783397192.76,reportado
INC-0021,Accidente_Vial,Nodo_Sureste_Hospitalaria,6,1783396110.74,reportado
INC-0022,Incendio,Nodo_Periferia_Rural,5,1783407105.11,reportado
INC-0023,Robo,Nodo_Sur_Industrial_2,8,1783461727.39,en_atencion
INC-0024,Emergencia_Medica,Nodo_Noreste_Rural_2,5,1783410190.78,reportado
INC-0025,Inundacion,Nodo_Centro_Universitaria,6,1783403068.81,reportado
INC-0026,Derrumbe,Nodo_Centro_Comercial_2,3,1783441414.84,reportado
INC-0027,Rescate,Nodo_Noroeste_Comercial_2,6,1783438556.05,en_atencion
INC-0028,Explosion,Nodo_Este_Hospitalaria,7,1783409163.0,reportado
INC-0029,Accidente_Vial,Nodo_Sur_Industrial_2,4,1783420840.29,reportado
INC-0030,Incendio,Nodo_Suroeste_Universitaria,9,1783454851.69,reportado
INC-0031,Robo,Nodo_Sur_Universitaria,10,1783440099.1,en_atencion
INC-0032,Emergencia_Medica,Nodo_Sureste_Rural,3,1783460391.46,reportado
